Game_pk,date,Park
717675,6/20/2023,Guaranteed Rate Field
717691,6/20/2023,Nationals Park
717680,6/20/2023,American Family Field
717687,6/20/2023,Tropicana Field
717678,6/20/2023,Angel Stadium
717666,6/21/2023,Yankee Stadium
717671,6/21/2023,PNC Park
717668,6/21/2023,Comerica Park
717670,6/21/2023,Minute Maid Park
717667,6/21/2023,Guaranteed Rate Field
717673,6/21/2023,Nationals Park
717674,6/21/2023,Oracle Park
717663,6/21/2023,Progressive Field
717672,6/21/2023,American Family Field
717664,6/21/2023,Citizens Bank Park
717665,6/21/2023,Target Field
717662,6/21/2023,Angel Stadium
717677,6/21/2023,Tropicana Field
717669,6/21/2023,Great American Ball Park
717676,6/21/2023,loanDepot park
717657,6/22/2023,Citizens Bank Park
717847,6/22/2023,Nationals Park
717661,6/22/2023,Oracle Park
717659,6/22/2023,Tropicana Field
717654,6/22/2023,loanDepot park
717660,6/22/2023,Progressive Field
717658,6/22/2023,Target Field
717652,6/22/2023,Yankee Stadium
717646,6/23/2023,Rogers Centre
717650,6/23/2023,Great American Ball Park
717649,6/23/2023,Tropicana Field
717655,6/23/2023,Yankee Stadium
717653,6/23/2023,loanDepot park
717647,6/23/2023,Comerica Park
717641,6/23/2023,Oracle Park
717644,6/23/2023,Coors Field
717645,6/23/2023,Guaranteed Rate Field
717648,6/23/2023,Progressive Field
717642,6/23/2023,Petco Park
717643,6/23/2023,Dodger Stadium
717656,6/23/2023,Citizens Bank Park
717651,6/23/2023,Oriole Park at Camden Yards
717631,6/24/2023,Great American Ball Park
717629,6/24/2023,Guaranteed Rate Field
717635,6/24/2023,Citizens Bank Park
717636,6/24/2023,Yankee Stadium
717628,6/24/2023,Oriole Park at Camden Yards
717626,6/24/2023,Dodger Stadium
717633,6/24/2023,Comerica Park
717639,6/24/2023,Oracle Park
717638,6/24/2023,Petco Park
717630,6/24/2023,loanDepot park
717634,6/24/2023,Rogers Centre
717625,6/24/2023,Progressive Field
717632,6/24/2023,Tropicana Field
717637,6/24/2023,Busch Stadium
717640,6/24/2023,Coors Field
717614,6/25/2023,Guaranteed Rate Field
717613,6/25/2023,Progressive Field
717612,6/25/2023,Oracle Park
717627,6/25/2023,Oriole Park at Camden Yards
717618,6/25/2023,Great American Ball Park
717615,6/25/2023,Dodger Stadium
